collected_date,reported_date,current_schools_w_cases,current_schools_closed,current_total_number_schools,new_total_school_related_cases,new_school_related_student_cases,new_school_related_staff_cases,new_school_related_unspecified_cases,recent_total_school_related_cases,recent_school_related_student_cases,recent_school_related_staff_cases,recent_school_related_unspecified_cases,past_total_school_related_cases,past_school_related_student_cases,past_school_related_staff_cases,past_school_related_unspecified_cases,cumulative_school_related_cases,cumulative_school_related_student_cases,cumulative_school_related_staff_cases,cumulative_school_related_unspecified_cases
2021-08-25,2021-08-26,2,0,4844,3,3,0,0,3,3,0,0,0,0,0,0,3,3,0,0
2021-08-26,2021-08-27,2,0,4844,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0
2021-08-27,2021-08-30,2,0,4844,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0
2021-08-30,2021-08-31,2,0,4844,1,1,0,0,3,3,0,0,1,1,0,0,4,4,0,0
2021-08-31,2021-09-01,1,0,4844,1,1,0,0,1,1,0,0,1,1,0,0,2,2,0,0
2021-09-01,2021-09-02,3,0,4844,2,1,1,0,3,2,1,0,1,1,0,0,4,3,1,0
2021-09-02,2021-09-03,4,0,4844,1,1,0,0,4,3,1,0,1,1,0,0,5,4,1,0
2021-09-03,2021-09-07,7,0,4844,3,2,1,0,7,5,2,0,1,1,0,0,8,6,2,0
2021-09-07,2021-09-08,28,0,4844,35,27,8,0,43,33,10,0,1,1,0,0,44,34,10,0
2021-09-08,2021-09-09,46,0,4844,34,23,9,2,69,47,19,3,1,1,0,0,70,48,19,3
2021-09-09,2021-09-10,65,0,4844,32,20,4,8,99,66,23,10,1,1,0,0,100,67,23,10
2021-09-10,2021-09-13,98,0,4844,46,36,6,4,158,118,29,11,4,1,0,3,162,119,29,14
2021-09-13,2021-09-14,218,0,4844,169,138,23,8,324,256,51,17,4,1,0,3,328,257,51,20
2021-09-14,2021-09-15,299,0,4844,168,145,15,8,476,390,66,20,10,4,0,6,486,394,66,26
2021-09-15,2021-09-16,348,1,4844,109,98,8,3,558,474,67,17,12,5,1,6,570,479,68,23
2021-09-16,2021-09-17,396,1,4844,121,105,15,1,619,520,81,18,13,6,1,6,632,526,82,24
2021-09-17,2021-09-20,444,1,4844,138,112,21,5,717,605,100,12,34,13,2,19,751,618,102,31
2021-09-20,2021-09-21,593,1,4844,293,265,22,6,1009,874,117,18,37,15,3,19,1046,889,120,37
2021-09-21,2021-09-22,660,1,4844,179,153,19,7,1121,977,128,16,65,28,10,27,1186,1005,138,43
2021-09-22,2021-09-23,702,0,4844,122,106,14,2,1224,1070,138,16,82,40,15,27,1306,1110,153,43
2021-09-23,2021-09-24,750,1,4844,173,145,26,2,1372,1203,158,11,112,58,20,34,1484,1261,178,45
2021-09-24,2021-09-27,779,1,4844,135,120,13,2,1450,1276,166,8,154,88,27,39,1604,1364,193,47
2021-09-27,2021-09-28,808,1,4844,280,257,18,5,1564,1389,163,12,303,216,47,40,1867,1605,210,52
2021-09-28,2021-09-29,808,3,4844,170,159,11,0,1582,1410,160,12,460,358,62,40,2042,1768,222,52
2021-09-29,2021-09-30,819,3,4844,158,135,22,1,1627,1444,176,7,551,437,68,46,2178,1881,244,53
2021-09-30,2021-10-01,810,5,4844,127,114,13,0,1624,1446,174,4,658,527,82,49,2282,1973,256,53
2021-10-01,2021-10-04,816,5,4844,146,133,11,2,1637,1466,166,5,793,643,100,50,2430,2109,266,55
2021-10-04,2021-10-05,796,6,4844,250,234,14,2,1606,1445,156,5,1059,884,123,52,2665,2329,279,57
2021-10-05,2021-10-06,773,8,4844,173,156,16,1,1556,1412,142,2,1218,1022,141,55,2774,2434,283,57
2021-10-06,2021-10-07,780,8,4844,121,106,15,0,1555,1412,141,2,1333,1122,156,55,2888,2534,297,57
2021-10-07,2021-10-08,774,9,4844,126,114,12,0,1493,1362,129,2,1482,1247,180,55,2975,2609,309,57
